Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Fiat;Punto;2007;200 000 - 249 999;Diesel;5;Manuelle;Non;Très bon;60000
Dacia;Dokker Van;2013;400 000 - 449 999;Diesel;6;Manuelle;Non;Excellent;70000
Dacia;Dokker;2014;160 000 - 169 999;Diesel;6;Manuelle;;Très bon;90000
Volkswagen;Touareg;2005;0 - 4 999;Diesel;10;Automatique;Oui;Excellent;90000
Toyota;Prado;2007;200 000 - 249 999;Diesel;12;Manuelle;Non;Excellent;97000
Volkswagen;Tiguan;2014;180 000 - 189 999;Diesel;8;Automatique;Non;Très bon;255000
Peugeot;308;2009;200 000 - 249 999;Diesel;6;Manuelle;Non;Excellent;85000
Renault;Clio;2014;75 000 - 79 999;Diesel;6;Manuelle;;Très bon;93000
Peugeot;208;2021;10 000 - 14 999;Diesel;6;Manuelle;Oui;Excellent;164000
Volkswagen;GOLF 7;2013;120 000 - 129 999;Diesel;8;Automatique;Non;Excellent;198000
Dacia;Dokker;2016;110 000 - 119 999;Diesel;6;Manuelle;;Excellent;114000
Renault;Kangoo;2008;160 000 - 169 999;Diesel;6;--;;;70000
Ford;Kuga;2016;200 000 - 249 999;Diesel;8;Manuelle;Oui;Excellent;180000
Land Rover;Range Rover Sport;2018;35 000 - 39 999;Diesel;12;--;Non;Excellent;780000
Citroen;Berlingo;2015;10 000 - 14 999;Essence;6;Manuelle;Non;Très bon;105000
Dacia;Logan Mcv;2017;0 - 4 999;Diesel;5;Manuelle;Oui;Très bon;98000
Audi;A3;2018;90 000 - 94 999;Diesel;6;Automatique;Oui;;340000
Ford;Focus;2014;190 000 - 199 999;Diesel;6;Manuelle;Non;Très bon;128000
Peugeot;301;2018;50 000 - 54 999;Diesel;6;Manuelle;Non;Très bon;107000
Mercedes-Benz;220;1998;300 000 - 349 999;Diesel;9;Manuelle;Non;Excellent;87000
Volkswagen;Polo;2014;30 000 - 34 999;Diesel;5;--;;;120000
Hyundai;i 30;2011;110 000 - 119 999;Diesel;6;Manuelle;;;89000
Opel;Astra;2011;200 000 - 249 999;Diesel;7;Manuelle;Non;Bon;83000
Suzuki;Grand Vitara;2009;20 000 - 24 999;Diesel;7;Manuelle;Non;Excellent;90000
Opel;Astra;2018;30 000 - 34 999;Diesel;6;--;;;185000
Ford;Fiesta;2017;80 000 - 84 999;Diesel;6;Manuelle;Oui;Excellent;102000
Hyundai;H-1;2009;300 000 - 349 999;Diesel;10;Manuelle;Non;Bon;83000
Renault;Clio;2014;140 000 - 149 999;Diesel;6;Manuelle;Non;Excellent;104000
Citroen;Berlingo;2011;0 - 4 999;Diesel;7;Manuelle;Oui;Bon;88000
Renault;Talisman;2019;130 000 - 139 999;Diesel;6;Automatique;Oui;;266000
Peugeot;308;2017;110 000 - 119 999;Diesel;6;Automatique;Oui;Excellent;145000
Volkswagen;GOLF 6;2009;250 000 - 299 999;Diesel;8;Manuelle;Non;Très bon;110000
Audi;A3;2015;130 000 - 139 999;Diesel;6;Automatique;Oui;Très bon;220000
Renault;Kangoo;2019;95 000 - 99 999;Diesel;6;Manuelle;Non;Excellent;127000
Audi;A3;2008;200 000 - 249 999;Diesel;8;Automatique;Non;Excellent;92000
Renault;Kangoo;2010;100 000 - 109 999;Diesel;6;Manuelle;Oui;Très bon;65000
Volkswagen;Bora;1999;200 000 - 249 999;Diesel;8;Manuelle;;;62000
Volkswagen;Tiguan;2017;170 000 - 179 999;Diesel;8;--;;;310000
Renault;Clio;2018;65 000 - 69 999;Diesel;6;Manuelle;Oui;Très bon;102000
Renault;Kangoo;2006;5 000 - 9 999;Diesel;7;Manuelle;Non;Très bon;70000
Skoda;Octavia;2017;140 000 - 149 999;Diesel;8;Automatique;Non;;178000
Citroen;C3;2019;55 000 - 59 999;Diesel;6;Manuelle;Oui;Excellent;110000
Nissan;Qashqai;2009;250 000 - 299 999;Diesel;6;Manuelle;Non;Très bon;105000
Mercedes-Benz;Classe C;2015;95 000 - 99 999;Diesel;6;Manuelle;Oui;Excellent;250000
Alfa Romeo;159;2007;200 000 - 249 999;Diesel;11;Manuelle;Non;Excellent;72000
Nissan;Qashqai;2009;250 000 - 299 999;Diesel;6;Manuelle;Non;Très bon;105000
Peugeot;Partner;2005;200 000 - 249 999;Diesel;7;Manuelle;Non;Excellent;60000
Hyundai;ix 35;2012;170 000 - 179 999;Diesel;7;Manuelle;Oui;Excellent;140000
Peugeot;208;2015;50 000 - 54 999;Diesel;6;--;;;110000
Mercedes-Benz;Classe CLK;2010;200 000 - 249 999;Diesel;9;Automatique;Oui;Très bon;170000
Volkswagen;Polo;2012;130 000 - 139 999;Essence;7;--;;;84000
Audi;A4;2015;10 000 - 14 999;Diesel;8;Manuelle;Oui;;128000
Seat;Ibiza;2010;170 000 - 179 999;Essence;7;Manuelle;;Très bon;67000
Hyundai;ix 35;2012;100 000 - 109 999;Diesel;8;Manuelle;Non;Excellent;123000
Volkswagen;PASSAT CC;2014;190 000 - 199 999;Diesel;8;Manuelle;Non;Excellent;155000
Volkswagen;GOLF 4;2001;110 000 - 119 999;Diesel;8;Manuelle;Non;Très bon;60600
Mercedes-Benz;Classe C;2004;200 000 - 249 999;Diesel;9;Manuelle;Non;Bon;108000
Citroen;C4;2009;160 000 - 169 999;Diesel;6;--;;;75000
Peugeot;2008;2015;170 000 - 179 999;Diesel;6;Manuelle;Non;Très bon;125000
Renault;Clio;2016;95 000 - 99 999;Diesel;6;Manuelle;Non;Excellent;98000
Renault;Clio;2017;5 000 - 9 999;Diesel;6;--;Oui;Excellent;120000
Renault;Clio;2019;25 000 - 29 999;Diesel;6;Automatique;Oui;Excellent;101000
Toyota;Land Cruiser;2002;200 000 - 249 999;Diesel;12;Automatique;Oui;;100000
Renault;Kangoo;2011;200 000 - 249 999;Diesel;6;Manuelle;Non;Très bon;87000
Fiat;500;2009;110 000 - 119 999;Diesel;6;Manuelle;Non;Très bon;78000
Volkswagen;Polo;2018;20 000 - 24 999;Essence;6;Manuelle;Oui;Excellent;145000
Renault;Megane 3;2016;80 000 - 84 999;Diesel;6;Manuelle;Non;Excellent;115000
Opel;Astra;2016;140 000 - 149 999;Diesel;8;Automatique;;Excellent;146000
Dacia;Duster;2017;50 000 - 54 999;Diesel;6;Manuelle;Oui;Excellent;150000
Dacia;Logan;2012;130 000 - 139 999;Diesel;6;Manuelle;Non;Très bon;65000
Toyota;VERSO;2008;300 000 - 349 999;Diesel;8;Manuelle;Non;Excellent;72000
Citroen;C3;2014;190 000 - 199 999;Diesel;6;Manuelle;Oui;Bon;75000
Renault;Megane 4;2017;170 000 - 179 999;Diesel;6;Manuelle;Non;Très bon;140000
Hyundai;Elantra;2019;70 000 - 74 999;Diesel;6;Automatique;Non;Excellent;168000
Nissan;Qashqai;2015;120 000 - 129 999;Diesel;6;Manuelle;Oui;Excellent;155000
Volkswagen;GOLF 7;2015;170 000 - 179 999;Diesel;6;Manuelle;Oui;Excellent;148000
Skoda;Octavia;2013;170 000 - 179 999;Diesel;8;--;;;130000
Dacia;Sandero;2012;160 000 - 169 999;Diesel;6;Automatique;Non;Très bon;76000
Mercedes-Benz;220;2001;10 000 - 14 999;Diesel;11;Manuelle;Non;Très bon;90000
Renault;Kangoo;2016;160 000 - 169 999;Diesel;6;Manuelle;Oui;Très bon;113000
Volkswagen;GOLF 5;2008;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;107000
Peugeot;206+;2010;95 000 - 99 999;Essence;6;Manuelle;Non;Excellent;62000
Peugeot;Tepee;2010;180 000 - 189 999;Diesel;6;Manuelle;Non;Excellent;98000
Mercedes-Benz;Classe C;2008;90 000 - 94 999;Diesel;8;Manuelle;Oui;Très bon;125000
Renault;Scenic;2005;190 000 - 199 999;Diesel;6;Manuelle;;Bon;65000
