Nom,Prix,Carburant,Modèle,CV,KM,Ville
RENAULT 4L,15.000 DH,Essence,1999,cv,300.000 km,Tanger
AUDI A6,153.000 DH,Diesel,2012,8 cv,173.000 km,Casablanca
HYUNDAI i20,140.000 DH,Essence,2020,8 cv,10.000 km,Casablanca
VOLVO XC40,300.000 DH,Diesel,2019,8 cv,140.000 km,Fès
JEEP Grand Cherokee,380.000 DH,Diesel,2017,12 cv,100.000 km,Fès
VOLKSWAGEN Jetta,168.000 DH,Diesel,2020,8 cv,98.000 km,Rabat
DACIA Logan,128.000 DH,Diesel,2021,6 cv,89.000 km,Rabat
VOLKSWAGEN Coccinelle,255.000 DH,Diesel,2019,8 cv,19.000 km,Casablanca
DACIA Logan,115.000 DH,Diesel,2020,6 cv,132.000 km,Tétouan
DACIA Logan,118.000 DH,Diesel,2019,6 cv,100.000 km,Tétouan
RENAULT Mégane Sedan,163.000 DH,Diesel,2019,6 cv,72.000 km,Rabat
HONDA CR-V,165.000 DH,Diesel,2015,6 cv,194.000 km,Casablanca
BMW Série 5,330.000 DH,Diesel,2017,8 cv,100.000 km,Rabat
JEEP Grand Cherokee,210.000 DH,Diesel,2017,12 cv,88.000 km,Casablanca
VOLKSWAGEN Tiguan,170.000 DH,Diesel,2012,8 cv,300.000 km,Khénifra
TOYOTA C-HR,177.000 DH,Hybride,2020,10 cv,100.000 km,Laayoune
RENAULT Mégane,259.000 DH,Diesel,2023,6 cv,7.000 km,Casablanca
AUDI Q3 Sportback,770.000 DH,Diesel,2024,8 cv,1.000 km,Casablanca
FIAT 500,155.000 DH,Essence,2022,7 cv,13.000 km,Casablanca
BMW Série 4 Gran Coupé,760.000 DH,Diesel,2023,8 cv,4.200 km,Casablanca
ABARTH 595,245.000 DH,Essence,2022,8 cv,27.000 km,Casablanca
DACIA Dokker,115.000 DH,Diesel,2019,6 cv,60.000 km,Casablanca
VOLKSWAGEN Coccinelle,200.000 DH,Diesel,2017,cv,22.000 km,Casablanca
ALFA ROMEO Giulietta,189.000 DH,Diesel,2019,8 cv,67.000 km,Casablanca
ABARTH 595,280.000 DH,Essence,2022,8 cv,14.000 km,Casablanca
DS DS3,85.000 DH,Essence,2012,8 cv,82.000 km,Casablanca
JEEP Compass,270.000 DH,Essence,2023,8 cv,5.500 km,Casablanca
