voiture,prix-dh,lieu,kilometrage,annee-pub,boite-vitesses,carburant,date,puissance-fiscale,lien
AUDI Q8,1220000,Rabat,0,2023,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/444234/audi-q8-50tdi-sline.html
BMW Serie 7,780000,Rabat,87000,2019,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/444021/bmw-serie-7-730d-pack-m.html
RENAULT Clio,159000,Fes,64000,2021,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447829/renault-clio-.html
VOLKSWAGEN Polo,102000,Fes,169000,2014,Manuelle,Diesel,03/07/2024,5,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447834/volkswagen-polo-.html
RENAULT Clio,102000,Fes,109000,2019,Manuelle,Diesel,03/07/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447835/renault-clio-.html
DACIA Duster,183000,Fes,54000,2021,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/438651/dacia-duster-.html
PEUGEOT 208,162000,Fes,84000,2022,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436716/peugeot-208-.html
MERCEDES Classe e,630000,Casablanca,24000,2022,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448834/mercedes-classe-e-.html
OPEL Crossland,169000,Casablanca,19000,2021,Manuelle,Diesel,03/08/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447696/opel-crossland-.html
BMW X6,275000,Casablanca,139000,2016,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447459/bmw-x6-.html
MERCEDES Classe ml,70000,Casablanca,249000,2007,Automatique,Diesel,03/07/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447460/mercedes-classe-ml-.html
FIAT 500x,165000,Casablanca,139000,2018,Automatique,Diesel,03/07/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447461/fiat-500x-.html
LAND-ROVER Range rover sport,415000,Casablanca,119000,2017,Automatique,Diesel,03/07/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447462/land-rover-range-rover-sport-.html
MERCEDES Classe ml,98000,Casablanca,249000,2011,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418788/mercedes-classe-ml-.html
RENAULT Megane,115000,Casablanca,139000,2015,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418793/renault-megane-.html
NISSAN Pathfinder,110000,Casablanca,179000,2012,Manuelle,Diesel,03/09/2024,10,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418794/nissan-pathfinder-.html
PEUGEOT 307,73000,Casablanca,199000,2008,Manuelle,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418795/peugeot-307-.html
LAND-ROVER Range rover sport,118000,Casablanca,199000,2011,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418799/land-rover-range-rover-sport-.html
