id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_name,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,#event+name,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,#date+created,#description,#meta+url,#cause
141747,Palestine,PSE,31.494100500000002,34.743824000000004,"[31.494100500000002, 34.743824000000004]",Recommended figure,Conflict,approximately,75,2024-03-11,2024-03-11,2024-03-11,2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,2024-01-01,2024-12-31,,,,,,2024-03-14T09:32:43.826281Z,"Palestine: 75 displacements (evacuated), 11 March - 11 March. Due to escalation in the Gaza Strip and Israel, approximately 75 children were evacuatedon 11 March from Rafah Governorate, Gaza Strip, to Bethlehem, West Bank, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-137-enarhe,Conflict
140857,Palestine,PSE,31.956129,35.47105,"[31.956129, 35.47105]",Recommended figure,Conflict,total,7,2024-02-29,2024-02-29,2024-02-29,2024,Palestine: International armed conflict (IAC) (Demolitions) - Jericho Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-01T14:54:12.532803Z,"Palestine: 7 displacements (destroyed housing), 29 February - 29 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 7 people were displaced by housing demolitions in Jericho Governorate on 29 February.",https://demolition.ochaopt.org/Index.aspx,Conflict
140849,Palestine,PSE,31.707121,35.206589,"[31.707121, 35.206589]",Recommended figure,Conflict,total,16,2024-02-28,2024-02-28,2024-02-28,2024,Palestine: International armed conflict (IAC) (Demolitions) - Bethlehem Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-01T14:54:12.242667Z,"Palestine: 16 displacements (destroyed housing), 28 February - 28 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 16 people were displaced by housing demolitions in Bethlehem on 28 February.",https://demolition.ochaopt.org/Index.aspx,Conflict
141143,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,4,2024-02-24,2024-02-24,2024-02-24,2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-06T14:36:03.040410Z,"Palestine: 4 displacements (destroyed housing), 24 February - 24 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 4 people were displaced on punitive grounds in Ramallah/Jerusalem on 24 February.",https://app.powerbi.com/view?r=eyJrIjoiMmJkZGRhYWQtODk0MS00MWJkLWI2NTktMDg1NGJlMGNiY2Y3IiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9,Conflict
140858,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,23,2024-02-21,2024-02-21,2024-02-21,2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-01T14:54:12.575768Z,"Palestine: 23 displacements (destroyed housing), 21 February - 21 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 23 people were displaced by housing demolitions in Ramallah/Jerusalem on 21 February.",https://demolition.ochaopt.org/Index.aspx,Conflict
140765,Palestine,PSE,31.95697,35.19796,"[31.95697, 35.19796]",Recommended figure,Conflict,total,6,2024-02-20,2024-02-20,2024-02-20,2024,Palestine: Communal violence (Coercive Environment) - Ramallah (Ein Samiya) - 20/02/2024,2024-02-20,2024-02-20,,,,,,2024-02-29T16:04:37.977629Z,"Palestine: 6 displacements (forced to flee), 20 February - 20 February. Communal violence resulted in a total of 6 people being forced to flee from Ein Samiya Bedouin community in Ramallah Governorate on 20 February, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-126-enarhe,Conflict
140859,Palestine,PSE,31.806061,35.326118,"[31.806061, 35.326118]",Recommended figure,Conflict,total,2,2024-02-20,2024-02-20,2024-02-20,2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-01T14:54:12.609850Z,"Palestine: 2 displacements (destroyed housing), 20 February - 20 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 2 people were displaced by housing demolitions in Ramallah/Jerusalem on 20 February.",https://demolition.ochaopt.org/Index.aspx,Conflict
140848,Palestine,PSE,31.707121,35.206589,"[31.707121, 35.206589]",Recommended figure,Conflict,total,6,2024-02-20,2024-02-20,2024-02-20,2024,Palestine: International armed conflict (IAC) (Demolitions) - Bethlehem Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-01T14:54:12.201843Z,"Palestine: 6 displacements (destroyed housing), 20 February - 20 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 6 people were displaced by housing demolitions in Bethlehem on 20 February.",https://demolition.ochaopt.org/Index.aspx,Conflict
140851,Palestine,PSE,31.707121,35.206589,"[31.707121, 35.206589]",Recommended figure,Conflict,total,17,2024-02-19,2024-02-19,2024-02-19,2024,Palestine: International armed conflict (IAC) (Demolitions) - Bethlehem Governorate - 01/02/2024,2024-02-01,2024-02-29,,,,,,2024-03-01T14:54:12.314833Z,"Palestine: 17 displacements (destroyed housing), 19 February - 19 February. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 17 people were displaced by housing demolitions in Bethlehem on 19 February.",https://demolition.ochaopt.org/Index.aspx,Conflict
