,nom,version,price,model,localisation,carburant
0,MERCEDES  190,,72 000 Dhs,1992,Nador,Diesel
1,VOLKSWAGEN  Touran,,175 000 Dhs,2014,Nador,Diesel
2,MERCEDES  Classe ml320,320,105 000 Dhs,2006,Nador,Diesel
3,MERCEDES  Classe cC220,C220,98 000 Dhs,2004,Nador,Diesel
4,MERCEDES  Classe c350 cdi,350 cdi,108 000 Dhs,2008,Nador,Diesel
5,JEEP  Wrangler,,285 000 Dhs,2016,Casablanca,Diesel
6,MERCEDES  Classe e coupe,,470 000 Dhs,2017,Casablanca,Diesel
7,FORD  Focus 5p,,210 000 Dhs,2023,Casablanca,Diesel
8,OPEL  Astra,,140 000 Dhs,2017,Casablanca,Diesel
9,MERCEDES  Classe c,,329 000 Dhs,2018,Casablanca,Diesel
10,HONDA  Jazz,,57 000 Dhs,2008,Casablanca,Essence
11,DACIA  Logan,,125 000 Dhs,2023,Casablanca,Essence
12,SUZUKI  Celerio,,54 000 Dhs,2012,Casablanca,Essence
13,HONDA  Accord,,99 000 Dhs,2011,Casablanca,Diesel
14,KIA  Carens,,64 000 Dhs,2009,Casablanca,Diesel
15,FIAT  500,,145 000 Dhs,2023,Casablanca,Essence
16,JEEP  Renegade,,216 000 Dhs,2022,Casablanca,Diesel
17,FIAT  500,,163 500 Dhs,2024,Casablanca,Essence
18,FIAT  500x,,230 000 Dhs,2023,Casablanca,Essence
19,JEEP  Compass,,320 000 Dhs,2023,Casablanca,Hybride
20,JEEP  Compass,,240 000 Dhs,2022,Casablanca,Essence
21,FIAT  500,,163 500 Dhs,2024,Casablanca,Essence
22,JEEP  Compass,,240 000 Dhs,2022,Casablanca,Essence
23,JEEP  Compass,,240 000 Dhs,2022,Casablanca,Essence
24,FIAT  AutreCargo,Cargo,130 000 Dhs,2023,Casablanca,Essence
25,AUDI  Q2,,Appeler pour le prix,2018,El jadida,Diesel
26,JEEP  Renegade,,Appeler pour le prix,2021,El jadida,Diesel
27,JEEP  Renegade,,Appeler pour le prix,2019,El jadida,Diesel
28,BMW  Serie 3,,Appeler pour le prix,2019,El jadida,Diesel
29,MERCEDES  Classe c,,Appeler pour le prix,2017,El jadida,Diesel
30,VOLKSWAGEN  Touareg,,Appeler pour le prix,2012,Meknes,Diesel
31,JEEP  Compass,,Appeler pour le prix,2016,Meknes,Diesel
32,LAND-ROVER  Range rover evoque,,Appeler pour le prix,2014,Meknes,Diesel
33,VOLKSWAGEN  Passat,,Appeler pour le prix,2007,Meknes,Diesel
34,VOLKSWAGEN  Caddy,,Appeler pour le prix,2017,Meknes,Diesel
35,BMW  X5Pack m,Pack m,555 000 Dhs,2019,Casablanca,Diesel
36,JEEP  CherokeeEd,Ed,185 000 Dhs,2016,Casablanca,Diesel
37,JEEP  Cherokee,,315 000 Dhs,2021,Casablanca,Diesel
38,VOLKSWAGEN  Tiguan2.0l tdi,2.0l tdi,180 000 Dhs,2016,Casablanca,Diesel
39,JAGUAR  XfLuxury,Luxury,295 000 Dhs,2019,Casablanca,Diesel
40,HYUNDAI  TucsonUltimate,Ultimate,Appeler pour le prix,2017,Casablanca,Diesel
41,PEUGEOT  208,,104 000 Dhs,2019,Fes,Diesel
42,VOLKSWAGEN  Polo,,102 000 Dhs,2014,Fes,Diesel
43,RENAULT  Clio,,102 000 Dhs,2019,Fes,Diesel
44,DACIA  Duster,,183 000 Dhs,2021,Fes,Diesel
